category,ticker,report_pair_id,language_signal_quality,primary_eligible,net_tone_change,uncertainty_rate_change,risk_language_introduction,risk_language_removal,governance_language_change,warning_reasons,exclusion_reasons
rising_negative,KP2,6b6ff484-ea7d-4b87-9768-2d51318ec849,USABLE,True,-0.7023485521018014,0.738418334805413,2.386634844868735,1.3187927973624145,-0.048617844581651415,[report-side] earlier dictionary match rate 0.043 is borderline (< 0.05) -- plausible but worth spot-checking; [report-side] later dictionary match rate 0.047 is borderline (< 0.05) -- plausible but worth spot-checking; [alignment-change] alignment run completed with warnings: 84 ambiguous alignment(s); [alignment-change] upstream feature quality is NEEDS_REVIEW,
rising_negative,SDL,60caa2a3-661d-4ee2-92ef-539768f8068c,USABLE,True,0.9263268999940202,-0.4571296383019341,0.29806259314456035,0.3477051460361613,-0.47286459035957984,"[report-side] earlier dictionary match rate 0.050 is borderline (< 0.05) -- plausible but worth spot-checking; [alignment-change] alignment run completed with warnings: 54 ambiguous alignment(s); [alignment-change] upstream feature quality is NEEDS_REVIEW; [alignment-change] collision-flagged word share 0.65 above 0.6 -- non-unique correspondence (duplicate/boilerplate content), not a demonstrated mismatch",
rising_negative,ACT,1bd7426f-c90f-40bf-a674-ceba14e90b2d,USABLE,True,2.8258159750697054,-0.5241375539883002,0.0,0.0,-0.16959160242742355,"[alignment-change] alignment run completed with warnings: 210 ambiguous alignment(s); [alignment-change] upstream feature quality is NEEDS_REVIEW; [alignment-change] collision-flagged word share 0.63 above 0.6 -- non-unique correspondence (duplicate/boilerplate content), not a demonstrated mismatch",
falling_negative,BEL,9586003a-ee0f-45b8-83ed-1eeb58a36532,USABLE,True,-1.0583150486080957,0.4882473758909409,0.2612330198537095,0.397456279809221,0.0321961673047797,"[alignment-change] alignment run completed with warnings: 118 ambiguous alignment(s); [alignment-change] upstream feature quality is NEEDS_REVIEW; [alignment-change] collision-flagged word share 0.74 above 0.6 -- non-unique correspondence (duplicate/boilerplate content), not a demonstrated mismatch",
falling_negative,SBP,d1b5fcd2-1fa7-4511-8a01-e5743baa9bc3,NEEDS_REVIEW,False,0.9843247876969823,0.5776280061862593,0.0,0.0,0.07913175510577908,[report-side] earlier dictionary match rate 0.049 is borderline (< 0.05) -- plausible but worth spot-checking; [report-side] later dictionary match rate 0.047 is borderline (< 0.05) -- plausible but worth spot-checking; [alignment-change] collision-flagged word share 0.89 exceeds tolerance (0.85); [alignment-change] alignment run completed with warnings: 11 ambiguous alignment(s); [alignment-change] upstream feature quality is NEEDS_REVIEW,[alignment-change] alignment-change quality is NEEDS_REVIEW
falling_negative,KP2,3be59506-3d38-4040-a4fa-da7bd764ab81,USABLE,True,0.17592133062439697,-0.2797968786402709,2.4744198488597604,2.175870348139256,-0.04645645792357578,"[report-side] earlier dictionary match rate 0.046 is borderline (< 0.05) -- plausible but worth spot-checking; [report-side] later dictionary match rate 0.048 is borderline (< 0.05) -- plausible but worth spot-checking; [alignment-change] alignment run completed with warnings: 89 ambiguous alignment(s); [alignment-change] upstream feature quality is NEEDS_REVIEW; [alignment-change] collision-flagged word share 0.60 above 0.6 -- non-unique correspondence (duplicate/boilerplate content), not a demonstrated mismatch",
rising_uncertainty,BEL,99605b80-c80b-483a-9156-3405eb9a5c71,USABLE,True,2.9661756517271485,2.175312159999283,1.5739769150052465,0.8511782098378281,0.26892929381424713,[alignment-change] alignment run completed with warnings: 82 ambiguous alignment(s); [alignment-change] upstream feature quality is NEEDS_REVIEW,
rising_uncertainty,ACT,efc86601-4fe3-4420-ac32-87638b0fa2ca,USABLE,True,4.6052677024129025,0.470769488080359,0.0,0.06268806419257773,-0.05495354726200086,[alignment-change] alignment run completed with warnings: 94 ambiguous alignment(s); [alignment-change] upstream feature quality is NEEDS_REVIEW,
rising_uncertainty,KP2,6b6ff484-ea7d-4b87-9768-2d51318ec849,USABLE,True,-0.7023485521018014,0.738418334805413,2.386634844868735,1.3187927973624145,-0.048617844581651415,[report-side] earlier dictionary match rate 0.043 is borderline (< 0.05) -- plausible but worth spot-checking; [report-side] later dictionary match rate 0.047 is borderline (< 0.05) -- plausible but worth spot-checking; [alignment-change] alignment run completed with warnings: 84 ambiguous alignment(s); [alignment-change] upstream feature quality is NEEDS_REVIEW,
risk_introduced,BEL,f2bf4ba7-cd10-4079-b827-e8a9ee1af1f3,USABLE,True,-3.825999233824822,-0.02653165251050993,0.5886392622387914,1.2944983818770226,-1.069741383444728,"[alignment-change] alignment run completed with warnings: 116 ambiguous alignment(s); [alignment-change] upstream feature quality is NEEDS_REVIEW; [alignment-change] collision-flagged word share 0.67 above 0.6 -- non-unique correspondence (duplicate/boilerplate content), not a demonstrated mismatch",
